series,ADF_stat,ADF_p,ADF_stationary,KPSS_stat,KPSS_p,KPSS_stationary
M2SL  (level),-0.7264275106142726,0.8397849584578255,no,1.5868306109463515,0.01,no
BTC   (level),-1.3303532979652832,0.6151738021904087,no,1.2829965562524008,0.01,no
GOLD  (level),2.56998187446292,0.999068996880161,no,1.2306661522037465,0.01,no
M2_growth (Δlog%),-2.331286627462424,0.16207583083884236,no,0.23846784860306589,0.1,yes
BTC_ret   (Δlog%),-10.284475482510365,3.7057487293745606e-18,yes,0.12186480203528241,0.1,yes
GOLD_ret  (Δlog%),-11.277432067755576,1.4845934516368562e-20,yes,0.5178515330067915,0.0376460511245965,no
STLFSI4 (level),-5.249904733903414,6.947569199226561e-06,yes,0.46744699140666984,0.04899842535885815,no
