date,M2_growth,BTC_ret,GOLD_ret,STLFSI4,stress_A,stress_B,stress_C
2014-10-01,0.6403566330170918,-13.428478883068262,-3.3090040177141233,-0.2756999999999999,0,0,0
2014-11-01,0.3538942786727617,11.102332724778652,0.3494847109916321,-0.39475,0,0,0
2014-12-01,0.7142948689233819,-16.60946011274289,0.7375789728429005,-0.17275,0,0,0
2015-01-01,0.7448127345742961,-38.689057728026825,7.6873421691924015,0.03718,1,1,0
2015-02-01,0.9912421013831718,15.63358259614187,-5.292072122725955,-0.22355,0,0,0
2015-03-01,-0.0192926315328634,-4.028333337163215,-2.4628702880035824,-0.177625,0,0,0
2015-04-01,0.2856534480475403,-3.3639791719843437,-0.0591799782120538,-0.32255,0,0,0
2015-05-01,0.2339455974004423,-2.554097576350234,0.5902706957036763,-0.29244,0,0,0
2015-06-01,0.3382519117060667,13.35226591686114,-1.5164019851011012,-0.215625,0,0,0
2015-07-01,0.363633745371672,7.88326093225713,-6.762192177048831,-0.10794,0,0,0
2015-08-01,0.3722242603629411,-21.293757746809305,3.2969481675232615,0.169325,1,1,0
2015-09-01,0.5097619115861818,2.5763243171789796,-1.4329803980007938,0.2769,1,1,0
2015-10-01,0.4205079334360206,28.583546157374503,2.3040452097262687,0.19456,1,1,0
2015-11-01,0.7481026814032177,18.317486099129088,-6.861745029357813,0.0549,1,1,0
2015-12-01,0.5739767790968742,13.200659019927308,-0.5173803693284462,0.3813499999999999,1,1,1
2016-01-01,1.0487360437338111,-15.493790877094591,5.155731154774124,0.68782,1,1,1
2016-02-01,0.6798739686690425,17.1361865873763,10.007066015985444,0.779075,1,1,1
2016-03-01,0.4583296829840932,-4.909072971286665,0.0243042633812251,0.212075,1,1,0
2016-04-01,0.6408209294106015,7.306664697864029,4.359888574213944,0.1754399999999999,1,1,0
2016-05-01,0.4603612721520989,16.99858749559997,-5.944233870056781,0.134675,1,1,0
2016-06-01,0.3936936227709964,23.675724852587976,8.183940430718817,0.280425,1,1,0
2016-07-01,0.4611021816499416,-7.500474237317256,2.2944678534600804,0.20776,1,1,0
2016-08-01,0.600736896357823,-8.205062056994716,-3.1705637923869823,0.26255,1,1,0
2016-09-01,0.5006806493733862,5.783386519289646,0.4885151486946348,0.34902,1,1,1
2016-10-01,0.5187633159092542,13.944350918112391,-3.234578490865836,0.15515,1,1,0
2016-11-01,0.6524528015965814,6.184335541933628,-8.250998833952039,0.087575,1,1,0
2016-12-01,0.1981576530667439,25.651336467372676,-1.7925375165357416,-0.10996,0,0,0
2017-01-01,0.6086510243855869,0.6886822934748515,4.970070236987834,-0.119475,0,0,0
2017-02-01,0.5922781769806207,19.553280384711424,3.5758726873428515,-0.20485,0,0,0
2017-03-01,0.5123175653228174,-9.615880521485298,-0.4240117321882231,-0.36136,0,0,0
2017-04-01,0.4306054761272548,22.921023327202672,1.496003596460049,-0.366025,0,0,0
2017-05-01,0.3484607041588816,52.84424457770926,0.4649174656746524,-0.559275,0,0,0
2017-06-01,0.0854530907194117,8.161438450155867,-2.4914767806546223,-0.61614,0,0,0
2017-07-01,0.459895901605023,14.757371076074577,2.0660428713533463,-0.64115,0,0,0
2017-08-01,0.3994036208380791,49.21125956912835,3.8412634117162447,-0.4957,0,0,0
2017-09-01,0.3454461435170586,-8.070649448199951,-2.6717493120091973,-0.59596,0,0,0
2017-10-01,0.3993441550107945,39.93517077212818,-1.1379365482986792,-0.714375,0,0,0
2017-11-01,0.3139969877889115,45.874761842239664,0.4881476736087187,-0.7202500000000001,0,0,0
2017-12-01,0.2755617573356517,32.44904602005736,2.5665372814242637,-0.6523,0,0,0
2018-01-01,0.133899667259385,-32.571267338712495,2.472431581970369,-0.661,0,0,0
2018-02-01,0.3518905159332064,1.714972738881393,-1.7706245210824534,-0.251925,0,0,0
2018-03-01,0.4534733470096697,-39.94823782495516,0.5533917539993105,0.07948,1,1,0
2018-04-01,0.1654271891700531,28.14798645558625,-0.5001979096123321,0.093625,1,1,0
2018-05-01,0.4017311816697955,-20.947601205123867,-1.230759413469773,-0.19165,0,0,0
2018-06-01,0.3173976082555541,-15.720257936947846,-3.825811589659356,-0.20238,0,0,0
2018-07-01,0.2642009462837436,19.469008919566026,-2.2304033803343337,-0.4031,0,0,0
2018-08-01,0.3422803699450583,-10.034851215463547,-1.9307449878350091,-0.5507799999999999,0,0,0
2018-09-01,0.1566633148755158,-6.0329466730044246,-0.7358548672435461,-0.72065,0,0,0
2018-10-01,0.077889001590492,-4.759395500679098,1.730640449100207,-0.486825,0,0,0
2018-11-01,0.1836058737062273,-45.27387427560985,0.6495317671459055,-0.16166,0,0,0
2018-12-01,0.725510339752411,-7.0794814168968045,4.651636867042086,0.4213249999999999,1,1,1
2019-01-01,0.5054350107959849,-7.917694887915694,3.1873292651691365,-0.033275,0,0,0
2019-02-01,0.3217568197415588,10.868489296899142,-0.5242103053610947,-0.327575,0,0,0
2019-03-01,0.3523286904290046,6.298888933675784,-1.5197198197902215,-0.5029,0,0,0
2019-04-01,0.255212438110064,26.49281308216871,-0.7919872889149637,-0.682625,0,0,0
2019-05-01,0.7488319615131189,47.156055233512895,1.7770690263088973,-0.4126599999999999,0,0,0
2019-06-01,0.666958333987111,23.2340415023101,7.6560963993836495,-0.3281,0,0,0
2019-07-01,0.565856219923333,-7.002189192516184,1.156654748362751,-0.456675,0,0,0
2019-08-01,0.5867162156381056,-4.615925207805738,6.317460951895715,0.00808,1,1,0
2019-09-01,0.4836559355887004,-14.943571475752291,-3.5785127422824026,-0.122525,0,0,0
2019-10-01,0.9070191949017924,10.364190373644,3.07034790205023,0.0602999999999999,1,1,0
2019-11-01,0.7342528583286878,-19.501419646887182,-3.077169147809755,-0.10342,0,0,0
2019-12-01,0.336123801046817,-5.095255396872567,3.6116635095049254,-0.2293,0,0,0
2020-01-01,0.517310883097899,26.22413313315928,4.087728975847416,-0.3295599999999999,0,0,0
2020-02-01,0.4288423641785499,-8.372786691247391,-1.1948060044142397,-0.204675,0,0,0
2020-03-01,3.4234971414420556,-28.93870426283236,1.2263886084912023,3.97425,1,1,1
2020-04-01,6.239806383922897,29.62296592030782,6.171619544791973,2.5223750000000003,1,1,1
2020-05-01,4.958985259298387,8.863657823887827,3.081128451206805,0.75376,1,1,1
2020-06-01,1.392156979547643,-3.4743483828233224,3.178826548905356,0.29805,1,1,0
2020-07-01,0.8275033049457647,21.44364849669902,9.04818554873854,0.06788,1,1,0
2020-08-01,0.4125557603209984,3.1070927138792115,0.2442463420624818,-0.192375,0,0,0
2020-09-01,1.033680520222191,-7.98391040602624,-4.156131138996333,0.0232249999999999,1,1,0
2020-10-01,0.8303023335111348,24.518137446988675,-0.5365348216100685,0.0082999999999999,1,1,0
2020-11-01,1.2682068338522257,35.355638072458184,-5.569317004024921,-0.27035,0,0,0
2020-12-01,0.6228914970090926,39.05083045140554,6.4021000252693305,-0.406675,0,0,0
2021-01-01,1.36800186111099,13.26118434702721,-2.4490544122774516,-0.4461199999999999,0,0,0
2021-02-01,1.3469942877131658,30.97523516362912,-6.670261506449382,-0.6,0,0,0
2021-03-01,1.1712141980064317,26.644141051552772,-0.8309369206091155,-0.509475,0,0,0
2021-04-01,1.5086993532623438,-2.00343752104164,3.073983009824399,-0.7562800000000001,0,0,0
2021-05-01,1.3954023843115948,-43.62526106275695,7.371582491143336,-0.7616,0,0,0
2021-06-01,0.0889197289374976,-6.335966015343075,-7.1737361303807035,-0.7973,0,0,0
2021-07-01,0.759912389959716,17.22155416570832,2.3330815719562636,-0.73114,0,0,0
2021-08-01,1.0001578291646496,12.495820600667606,0.1323202547354185,-0.724525,0,0,0
2021-09-01,0.6714259016897373,-7.426196175476463,-3.3445657419113317,-0.66765,0,0,0
2021-10-01,0.8523695701050826,33.66631368797339,1.5657528583302494,-0.73724,0,0,0
2021-11-01,0.8240764062838579,-7.294259278707926,-0.5285973326296656,-0.6564,0,0,0
2021-12-01,0.7610742150795602,-20.78652934319898,2.9937547087089733,-0.54002,0,0,0
2022-01-01,0.7012986259249843,-18.506132549831733,-1.794389070155411,-0.4819,0,0,0
2022-02-01,0.3449010676691344,11.546403777657764,5.653303774003859,-0.31285,0,0,0
2022-03-01,0.2854406615417915,5.287811077187143,2.588094725659218,-0.1139,0,0,0
2022-04-01,-0.0803557737533822,-18.85074030982956,-2.0682298625755102,-0.2613999999999999,0,0,0
2022-05-01,-0.2308652028192526,-17.083012512480167,-3.5504847450581245,0.34345,1,1,1
2022-06-01,-0.3140400502994467,-47.431419954702925,-2.1170021916460335,0.0542249999999999,1,1,0
2022-07-01,0.0064659751174644,16.512539389891323,-2.3101644785707975,0.13098,1,1,0
2022-08-01,-0.062830032973693,-15.181828145180807,-2.8830707357252905,-0.361675,0,0,0
2022-09-01,-0.4734164244531769,-3.130703026484305,-2.9867130752255555,-0.04204,0,0,0
2022-10-01,-0.3502483922678934,5.330835462777372,-1.6069229506937788,0.0071499999999999,1,1,0
2022-11-01,-0.2570701499919892,-17.713851378666767,6.513433087548837,-0.2881,0,0,0
2022-12-01,-0.5410216699864634,-3.68453803724087,4.134416808658603,0.0032,1,0,0
2023-01-01,-0.0535585939108074,33.52969478089474,5.858927649154033,-0.37,0,0,0
2023-02-01,-0.1730869158903303,0.0348710260839268,-5.354619541810202,-0.4628,0,0,0
2023-03-01,-1.4027483367179627,20.72684129398983,7.381109307955391,0.11534,1,1,0
2023-04-01,-0.8890439300136777,2.737346118121131,1.0659076805384693,-0.3798249999999999,0,0,0
2023-05-01,0.328437525500469,-7.2582888823095715,-1.3252571891914755,-0.400025,0,0,0
2023-06-01,-0.1460527586859328,11.304112741980532,-2.203437862657509,-0.6109199999999999,0,0,0
2023-07-01,-0.0389513906004168,-4.178117992578834,2.53893917090382,-0.7327,0,0,0
2023-08-01,-0.0678404860494197,-11.974199634133951,-1.6527635527120663,-0.666525,0,0,0
2023-09-01,-0.1416028325984086,3.9190472235031137,-4.760161102658511,-0.66442,0,0,0
2023-10-01,-0.0699120342261494,25.116289769515276,7.156156903585931,-0.407025,0,0,0
2023-11-01,0.065092083485041,8.418736858720521,2.6298349196286708,-0.67115,0,0,0
2023-12-01,0.1507544024754281,11.396562667992782,1.1852316520641892,-0.4971,0,0,0
2024-01-01,0.3161822458412899,0.7482090893391913,-0.6811352920150782,-0.7239249999999999,0,0,0
2024-02-01,0.3974111295978133,36.26749169775412,-0.1318947587936492,-0.66555,0,0,0
2024-03-01,0.2229112548057799,15.324737915532616,8.059528897131596,-0.87408,0,0,0
2024-04-01,-0.0658192855182093,-16.24652594289735,3.282764754355938,-0.721225,0,0,0
2024-05-01,0.2906133983728409,10.709750645077776,1.3653421179197878,-0.89184,0,0,0
2024-06-01,0.2271378296022419,-7.398520766284555,0.2064271570902498,-0.8423499999999999,0,0,0
2024-07-01,0.1275979273627214,3.049717096408777,4.156925525424171,-0.733375,0,0,0
2024-08-01,0.4323359461066545,-9.14852362782721,2.735778129702293,-0.50466,0,0,0
2024-09-01,0.3900495332866072,7.132413760790435,5.549291807334278,-0.35195,0,0,0
2024-10-01,0.2929483285795342,10.321337844136202,3.8036718490544352,-0.525925,0,0,0
2024-11-01,0.5623599282870373,31.74503044548231,-3.013964094636723,-0.57478,0,0,0
2024-12-01,0.1565047596919555,-3.1810974585194884,-1.051806794186927,-0.5533250000000001,0,0,0
2025-01-01,0.2895393795277812,9.173180475320208,6.739416869473125,-0.79314,0,0,0
2025-02-01,0.302584710089171,-19.36882306061527,0.8602906019663514,-0.7034,0,0,0
2025-03-01,0.3703793459832738,-2.1856522429342107,9.605337734980424,-0.4543,0,0,0
2025-04-01,0.378197527354196,13.210679058451014,5.6706422403642875,0.059625,1,1,0
2025-05-01,0.2664546391050848,10.50098643640016,-0.4883340629861621,-0.54486,0,0,0
2025-06-01,0.478839274998144,2.3585186772381306,0.1670894974493464,-0.733375,0,0,0
2025-07-01,0.3717095849069096,7.741070269129757,-0.0364306033102224,-0.784175,0,0,0
2025-08-01,0.3024431257408366,-6.71829631411196,5.336057263250282,-0.6848799999999999,0,0,0
2025-09-01,0.3764338173871451,5.236971267440715,10.04603966999209,-0.52875,0,0,0
2025-10-01,0.3363693775026988,-4.025297774495762,3.615372718859966,-0.46302,0,0,0
2025-11-01,0.1446463156264954,-19.225598097811236,5.759773884530439,-0.334325,0,0,0
2025-12-01,0.3410211972955324,-3.2441669464532197,2.5118724680499582,-0.42225,0,0,0
2026-01-01,0.3389705072487814,-10.709935127295722,8.596468850339534,-0.6494,0,0,0
2026-02-01,0.8771324118765023,-16.00095127503014,10.3991305636276,-0.5475,0,0,0
2026-03-01,0.2617346147268051,1.8302081566110573,-11.815589746291977,-0.3152749999999999,0,0,0
2026-04-01,0.5201074798998562,11.179666071960703,-0.71040755900178,-0.577175,0,0,0
2026-05-01,1.0807662638054438,-3.636055680422956,-1.1814636110663912,-0.72188,0,0,0
