system,threshold,stress_n,covid,target,granger_p,cum12,ci_lo,ci_hi,sig,discard
BTC-3var,A: >0,36,True,BTC_ret,0.21372482179920957,11.75407400149652,-7.972041783237202,50.55415393728493,False,0.164
BTC-3var,A: >0,36,True,GOLD_ret,0.08644006130617328,3.535844728117423,-0.4356468702973015,10.740537082183403,False,0.164
BTC-3var,B: >75th pct,35,True,BTC_ret,0.22758827932523043,10.94611894996035,-8.779832645098022,41.764350558357954,False,0.161
BTC-3var,B: >75th pct,35,True,GOLD_ret,0.05360380826490347,3.8462378187562623,-0.11696353429946035,11.25990137332335,False,0.161
BTC-3var,C: >mean+1SD,9,False,BTC_ret,0.1903196929848545,324.68778637560905,-61.32858016584473,160.00350847526005,False,0.908
BTC-3var,C: >mean+1SD,9,False,GOLD_ret,0.6396164098407128,-66.0266149162064,-85.71100088618233,57.084408358591354,False,0.908
BTC-3var,D: >0.15,19,True,BTC_ret,0.03511327681291219,14.825933104641202,-7.143314564468244,35.43163658861779,False,0.123
BTC-3var,D: >0.15,19,True,GOLD_ret,0.12530700185177907,2.8781887798328176,-0.9337752158594667,8.623922595194687,False,0.123
GOLD-2var-ext,A: >0,115,True,GOLD_ret,0.3055106951311461,1.6209491854349247,-1.143227053827557,4.3865549712063645,False,0.022
GOLD-2var-ext,B: >75th pct,76,False,GOLD_ret,0.6702261953112245,2.431448307055586,-1.2617971714241296,10.354678282842169,False,0.047
GOLD-2var-ext,C: >mean+1SD,26,False,GOLD_ret,0.611196294629538,37.50877686201193,-9.032815772437237,67.55911530300509,False,0.53
GOLD-2var-ext,D: >0.15,94,True,GOLD_ret,0.783086814963255,1.1648844286960018,-0.837928486666582,3.4118001078394813,False,0.01
