date,STLFSI4
2013-11-01,-0.5663199999999999
2013-12-01,-0.5512
2014-01-01,-0.5428
2014-02-01,-0.575825
2014-03-01,-0.6127750000000001
2014-04-01,-0.6242
2014-05-01,-0.7042400000000001
2014-06-01,-0.801075
2014-07-01,-0.71585
2014-08-01,-0.6072599999999999
2014-09-01,-0.503525
2014-10-01,-0.27569999999999995
2014-11-01,-0.39475
2014-12-01,-0.17275000000000001
2015-01-01,0.037180000000000005
2015-02-01,-0.22355
2015-03-01,-0.177625
2015-04-01,-0.32255
2015-05-01,-0.29244000000000003
2015-06-01,-0.215625
2015-07-01,-0.10794
2015-08-01,0.169325
2015-09-01,0.27690000000000003
2015-10-01,0.19456
2015-11-01,0.0549
2015-12-01,0.38134999999999997
2016-01-01,0.68782
2016-02-01,0.779075
2016-03-01,0.212075
2016-04-01,0.17543999999999998
2016-05-01,0.134675
2016-06-01,0.28042500000000004
2016-07-01,0.20776
2016-08-01,0.26255
2016-09-01,0.34902
2016-10-01,0.15515
2016-11-01,0.087575
2016-12-01,-0.10996000000000002
2017-01-01,-0.119475
2017-02-01,-0.20485
2017-03-01,-0.36136
2017-04-01,-0.36602500000000004
2017-05-01,-0.559275
2017-06-01,-0.61614
2017-07-01,-0.64115
2017-08-01,-0.49570000000000003
2017-09-01,-0.59596
2017-10-01,-0.714375
2017-11-01,-0.7202500000000001
2017-12-01,-0.6523
2018-01-01,-0.661
2018-02-01,-0.251925
2018-03-01,0.07948000000000001
2018-04-01,0.093625
2018-05-01,-0.19165
2018-06-01,-0.20238
2018-07-01,-0.4031
2018-08-01,-0.5507799999999999
2018-09-01,-0.72065
2018-10-01,-0.486825
2018-11-01,-0.16166
2018-12-01,0.42132499999999995
2019-01-01,-0.033275
2019-02-01,-0.327575
2019-03-01,-0.5029
2019-04-01,-0.682625
2019-05-01,-0.41265999999999997
2019-06-01,-0.3281
2019-07-01,-0.456675
2019-08-01,0.00808
2019-09-01,-0.12252500000000001
2019-10-01,0.06029999999999999
2019-11-01,-0.10342
2019-12-01,-0.2293
2020-01-01,-0.32955999999999996
2020-02-01,-0.204675
2020-03-01,3.97425
2020-04-01,2.5223750000000003
2020-05-01,0.75376
2020-06-01,0.29805000000000004
2020-07-01,0.06788
2020-08-01,-0.192375
2020-09-01,0.023224999999999996
2020-10-01,0.008299999999999997
2020-11-01,-0.27035
2020-12-01,-0.406675
2021-01-01,-0.44611999999999996
2021-02-01,-0.6
2021-03-01,-0.509475
2021-04-01,-0.7562800000000001
2021-05-01,-0.7616
2021-06-01,-0.7973
2021-07-01,-0.73114
2021-08-01,-0.724525
2021-09-01,-0.66765
2021-10-01,-0.73724
2021-11-01,-0.6564
2021-12-01,-0.54002
2022-01-01,-0.4819
2022-02-01,-0.31285
2022-03-01,-0.1139
2022-04-01,-0.26139999999999997
2022-05-01,0.34345000000000003
2022-06-01,0.054224999999999995
2022-07-01,0.13098
2022-08-01,-0.361675
2022-09-01,-0.04204000000000001
2022-10-01,0.00714999999999999
2022-11-01,-0.2881
2022-12-01,0.0032
2023-01-01,-0.37
2023-02-01,-0.4628
2023-03-01,0.11534
2023-04-01,-0.37982499999999997
2023-05-01,-0.400025
2023-06-01,-0.6109199999999999
2023-07-01,-0.7327
2023-08-01,-0.666525
2023-09-01,-0.66442
2023-10-01,-0.407025
2023-11-01,-0.67115
2023-12-01,-0.4971
2024-01-01,-0.7239249999999999
2024-02-01,-0.66555
2024-03-01,-0.87408
2024-04-01,-0.721225
2024-05-01,-0.89184
2024-06-01,-0.8423499999999999
2024-07-01,-0.733375
2024-08-01,-0.50466
2024-09-01,-0.35195
2024-10-01,-0.525925
2024-11-01,-0.57478
2024-12-01,-0.5533250000000001
2025-01-01,-0.79314
2025-02-01,-0.7034
2025-03-01,-0.45430000000000004
2025-04-01,0.059625
2025-05-01,-0.54486
2025-06-01,-0.733375
2025-07-01,-0.784175
2025-08-01,-0.6848799999999999
2025-09-01,-0.52875
2025-10-01,-0.46302000000000004
2025-11-01,-0.334325
2025-12-01,-0.42225
2026-01-01,-0.6494
2026-02-01,-0.5475
2026-03-01,-0.31527499999999997
2026-04-01,-0.577175
2026-05-01,-0.72188
2026-06-01,-0.8643000000000001
